Время (сек),Расстояние (см)
0.013,174.35
0.126,174.26
0.239,174.29
0.351,174.14
0.464,174.15
0.577,174.62
0.681,22.23
0.785,28.85
0.89,36.98
0.995,38.73
1.1,36.77
1.205,37.21
1.31,35.96
1.414,35.06
1.519,33.51
1.624,35.25
1.728,30.05
1.833,30.56
1.937,20.22
2.04,16.19
2.143,14.3
2.247,12.77
2.35,10.37
2.453,11.7
2.557,15.18
2.661,18.1
2.765,22.96
2.869,29.51
2.974,35.14
3.078,36.95
3.183,40.37
3.289,42.91
3.394,46.32
3.499,49.61
3.605,50.42
3.71,48.58
3.815,46.3
3.921,44.92
4.025,36.27
4.13,33.96
4.234,29.62
4.338,24.73
4.442,18.92
4.546,16.85
4.649,16.35
4.753,21.79
4.858,28.87
4.962,32.48
5.067,38.44
5.172,44.13
5.278,48.73
5.383,50.6
5.489,47.55
5.603,194.78
5.707,37.01
5.812,30.07
5.916,25.24
6.02,18.14
6.123,17.26
6.274,818.4
6.377,10.9
6.48,11.14
6.584,13.24
6.687,16.35
6.791,16.67
6.894,16.26
6.998,10.25
7.101,11.84
7.206,37.15
7.31,20.37
7.414,26.43
7.518,31.01
7.623,36.38
7.728,41.69
7.833,43.73
7.939,50.05
8.044,50.94
8.15,57.36
8.264,191.08
8.369,41.42
8.474,36.69
8.578,29.79
8.682,22.51
8.786,16.12
8.889,12.83
8.992,10.59
9.096,8.11
9.199,17.61
9.303,16.72
9.407,23.04
9.511,28.5
9.616,36.57
9.721,35.27
9.825,28.21
9.93,24.34
